ts_micro,frame,wheel
1464650070285914,0,-1
1464650070319247,1,-1
1464650070352581,2,-1
1464650070385914,3,-1
1464650070419247,4,-1
1464650070452581,5,-1
1464650070485914,6,-1
1464650070519247,7,-1
1464650070552581,8,-1
1464650070585914,9,-1.5
1464650070619247,10,-1.5
1464650070652581,11,-1.5
1464650070685914,12,-1.5
1464650070719247,13,-1.5
1464650070752581,14,-1.5
1464650070785914,15,-1.5
1464650070819247,16,-1.5
1464650070852581,17,-1.5
1464650070885914,18,-1.5
1464650070919247,19,-1.5
1464650070952581,20,-1.5
1464650070985914,21,-1.5
1464650071019247,22,-1.5
1464650071052581,23,-1.5
1464650071085914,24,-1.5
1464650071119247,25,-1.5
1464650071152581,26,-1.5
1464650071185914,27,-1.5
1464650071219247,28,-1.5
1464650071252581,29,-1.5
1464650071285914,30,-1.5
1464650071319247,31,-1.5
1464650071352581,32,-1.5
1464650071385914,33,-1.5
1464650071419247,34,-1.5
1464650071452581,35,-1.5
1464650071485914,36,-1
1464650071519247,37,0
1464650071552581,38,0
1464650071585914,39,0
1464650071619247,40,0
1464650071652581,41,0
1464650071685914,42,-0.5
1464650071719247,43,-0.5
1464650071752581,44,-0.5
1464650071785914,45,-0.5
1464650071819247,46,-0.5
1464650071852581,47,0
1464650071885914,48,0
1464650071919247,49,0
1464650071952581,50,0
1464650071985914,51,0
1464650072019247,52,0
1464650072052581,53,0
1464650072085914,54,0
1464650072119247,55,0
1464650072152581,56,0
1464650072185914,57,0
1464650072219247,58,0
1464650072252581,59,0
1464650072285914,60,0.5
1464650072319247,61,0.5
1464650072352581,62,0.5
1464650072385914,63,0.5
1464650072419247,64,0.5
1464650072452581,65,0.5
1464650072485914,66,0.5
1464650072519247,67,0.5
1464650072552581,68,0.5
1464650072585914,69,0.5
1464650072619247,70,0.5
1464650072652581,71,0.5
1464650072685914,72,0.5
1464650072719247,73,0.5
1464650072752581,74,0.5
1464650072785914,75,0.5
1464650072819247,76,0.5
1464650072852581,77,0.5
1464650072885914,78,0.5
1464650072919247,79,0.5
1464650072952581,80,0.5
1464650072985914,81,0.5
1464650073019247,82,0.5
1464650073052581,83,0.5
1464650073085914,84,0.5
1464650073119247,85,0.5
1464650073152581,86,0.5
1464650073185914,87,0.5
1464650073219247,88,0.5
1464650073252581,89,0.5
1464650073285914,90,0.5
1464650073319247,91,0.5
1464650073352581,92,0.5
1464650073385914,93,0.5
1464650073419247,94,0.5
1464650073452581,95,0.5
1464650073485914,96,0.5
1464650073519247,97,0.5
1464650073552581,98,0.5
1464650073585914,99,0.5
1464650073619247,100,0.5
1464650073652581,101,0.5
1464650073685914,102,0.5
1464650073719247,103,0.5
1464650073752581,104,0.5
1464650073785914,105,0.5
1464650073819247,106,0.5
1464650073852581,107,0.5
1464650073885914,108,0.5
1464650073919247,109,0.5
1464650073952581,110,0.5
1464650073985914,111,0.5
1464650074019247,112,0.5
