ts_micro,frame_index,wheel
1464304764625141,0,-0.5
1464304764658474,1,-0.5
1464304764691807,2,-0.5
1464304764725141,3,-0.5
1464304764758474,4,0
1464304764791807,5,0
1464304764825141,6,0
1464304764858474,7,0
1464304764891807,8,0
1464304764925141,9,0.5
1464304764958474,10,0.5
1464304764991807,11,0.5
1464304765025141,12,0.5
1464304765058474,13,0.5
1464304765091807,14,0.5
1464304765125141,15,0
1464304765158474,16,0
1464304765191807,17,0
1464304765225141,18,0
1464304765258474,19,0.5
1464304765291807,20,0.5
1464304765325141,21,0.5
1464304765358474,22,0.5
1464304765391807,23,0.5
1464304765425141,24,0.5
1464304765458474,25,0.5
1464304765491807,26,0.5
1464304765525141,27,0.5
1464304765558474,28,0.5
1464304765591807,29,1
1464304765625141,30,1
1464304765658474,31,1.5
1464304765691807,32,1.5
1464304765725141,33,1.5
1464304765758474,34,1.5
1464304765791807,35,1.5
1464304765825141,36,1.5
1464304765858474,37,1.5
1464304765891807,38,1.5
1464304765925141,39,1.5
1464304765958474,40,1.5
1464304765991807,41,1.5
1464304766025141,42,1.5
1464304766058474,43,1.5
1464304766091807,44,1.5
1464304766125141,45,1.5
1464304766158474,46,1.5
1464304766191807,47,1.5
1464304766225141,48,1.5
1464304766258474,49,1.5
1464304766291807,50,1.5
1464304766325141,51,1.5
1464304766358474,52,1.5
1464304766391807,53,1.5
1464304766425141,54,1.5
1464304766458474,55,1.5
1464304766491807,56,1.5
1464304766525141,57,1.5
1464304766558474,58,1.5
1464304766591807,59,1.5
1464304766625141,60,1.5
1464304766658474,61,1.5
1464304766691807,62,2
1464304766725141,63,2
1464304766758474,64,1.5
1464304766791807,65,1.5
1464304766825141,66,1.5
1464304766858474,67,1.5
1464304766891807,68,1.5
1464304766925141,69,1.5
1464304766958474,70,1.5
1464304766991807,71,2
1464304767025141,72,2
1464304767058474,73,2
1464304767091807,74,2
1464304767125141,75,2
1464304767158474,76,2
1464304767191807,77,2
1464304767225141,78,2
1464304767258474,79,2
1464304767291807,80,2
1464304767325141,81,2
1464304767358474,82,2
1464304767391807,83,2
1464304767425141,84,2
1464304767458474,85,2
1464304767491807,86,2
1464304767525141,87,2
1464304767558474,88,2
1464304767591807,89,2
1464304767625141,90,2
1464304767658474,91,2.5
1464304767691807,92,2.5
1464304767725141,93,2.5
1464304767758474,94,2.5
1464304767791807,95,2.5
1464304767825141,96,2.5
1464304767858474,97,2.5
1464304767891807,98,2
1464304767925141,99,2
1464304767958474,100,2
1464304767991807,101,2
1464304768025141,102,2
1464304768058474,103,2
1464304768091807,104,2
1464304768125141,105,2
1464304768158474,106,2
1464304768191807,107,2
1464304768225141,108,2.5
1464304768258474,109,3.5
1464304768291807,110,4.5
1464304768325141,111,5.5
