ts_micro,frame_index,wheel
1464303685025141,0,0.5
1464303685058474,1,0.5
1464303685091807,2,0.5
1464303685125141,3,0.5
1464303685158474,4,0.5
1464303685191807,5,0.5
1464303685225141,6,0.5
1464303685258474,7,0.5
1464303685291807,8,0.5
1464303685325141,9,0.5
1464303685358474,10,0.5
1464303685391807,11,0.5
1464303685425141,12,0.5
1464303685458474,13,1
1464303685491807,14,1
1464303685525141,15,1
1464303685558474,16,1
1464303685591807,17,1
1464303685625141,18,1
1464303685658474,19,1
1464303685691807,20,1
1464303685725141,21,1
1464303685758474,22,1
1464303685791807,23,1
1464303685825141,24,1
1464303685858474,25,1
1464303685891807,26,1
1464303685925141,27,1
1464303685958474,28,1
1464303685991807,29,1
1464303686025141,30,1
1464303686058474,31,1
1464303686091807,32,1
1464303686125141,33,0.5
1464303686158474,34,0.5
1464303686191807,35,0.5
1464303686225141,36,0.5
1464303686258474,37,0.5
1464303686291807,38,0.5
1464303686325141,39,0.5
1464303686358474,40,0.5
1464303686391807,41,0.5
1464303686425141,42,0.5
1464303686458474,43,0.5
1464303686491807,44,0.5
1464303686525141,45,0.5
1464303686558474,46,0.5
1464303686591807,47,0.5
1464303686625141,48,0.5
1464303686658474,49,0.5
1464303686691807,50,0.5
1464303686725141,51,0.5
1464303686758474,52,0.5
1464303686791807,53,0.5
1464303686825141,54,0.5
1464303686858474,55,0.5
1464303686891807,56,0.5
1464303686925141,57,1
1464303686958474,58,1
1464303686991807,59,1
1464303687025141,60,1.5
1464303687058474,61,1.5
1464303687091807,62,1.5
1464303687125141,63,1.5
1464303687158474,64,1
1464303687191807,65,1
1464303687225141,66,0
1464303687258474,67,-0.5
1464303687291807,68,-1
1464303687325141,69,-1.5
1464303687358474,70,-1.5
1464303687391807,71,-1.5
1464303687425141,72,-1.5
1464303687458474,73,-1.5
1464303687491807,74,-1.5
1464303687525141,75,-1.5
1464303687558474,76,-1.5
1464303687591807,77,-1.5
1464303687625141,78,-2
1464303687658474,79,-2
1464303687691807,80,-2
1464303687725141,81,-2
1464303687758474,82,-2
1464303687791807,83,-1.5
1464303687825141,84,-1.5
1464303687858474,85,-1.5
1464303687891807,86,-1.5
1464303687925141,87,-1.5
1464303687958474,88,-1.5
1464303687991807,89,-1
1464303688025141,90,-1
1464303688058474,91,-1
1464303688091807,92,-1
1464303688125141,93,-1
1464303688158474,94,-0.5
1464303688191807,95,-0.5
1464303688225141,96,-0.5
1464303688258474,97,-1
1464303688291807,98,-1
1464303688325141,99,-1
1464303688358474,100,-1
1464303688391807,101,-1
1464303688425141,102,-0.5
1464303688458474,103,-0.5
1464303688491807,104,-0.5
1464303688525141,105,-0.5
1464303688558474,106,-0.5
1464303688591807,107,-0.5
1464303688625141,108,-0.5
1464303688658474,109,-0.5
1464303688691807,110,-0.5
1464303688725141,111,-0.5
1464303688758474,112,-0.5
1464303688791807,113,0
1464303688825141,114,0
1464303688858474,115,0
1464303688891807,116,0
1464303688925141,117,0
1464303688958474,118,-0.5
1464303688991807,119,-0.5
1464303689025141,120,-0.5
1464303689058474,121,-0.5
1464303689091807,122,-0.5
1464303689125141,123,-0.5
1464303689158474,124,-0.5
1464303689191807,125,-0.5
1464303689225141,126,-0.5
1464303689258474,127,-0.5
1464303689291807,128,-0.5
1464303689325141,129,-0.5
1464303689358474,130,-0.5
1464303689391807,131,-0.5
1464303689425141,132,-0.5
1464303689458474,133,-0.5
1464303689491807,134,-0.5
1464303689525141,135,-0.5
1464303689558474,136,-0.5
1464303689591807,137,-0.5
1464303689625141,138,-0.5
1464303689658474,139,-0.5
1464303689691807,140,-1
1464303689725141,141,-1
1464303689758474,142,-1
1464303689791807,143,-1
1464303689825141,144,-1
1464303689858474,145,-1
1464303689891807,146,-1
1464303689925141,147,-1
1464303689958474,148,-1
1464303689991807,149,-1
1464303690025141,150,-1
1464303690058474,151,-1
1464303690091807,152,-0.5
1464303690125141,153,-0.5
1464303690158474,154,-0.5
1464303690191807,155,-0.5
1464303690225141,156,0
1464303690258474,157,0
1464303690291807,158,0
1464303690325141,159,-0.5
1464303690358474,160,-0.5
1464303690391807,161,-0.5
1464303690425141,162,0
1464303690458474,163,0
1464303690491807,164,0
1464303690525141,165,0
1464303690558474,166,0
1464303690591807,167,0.5
1464303690625141,168,0.5
1464303690658474,169,0.5
1464303690691807,170,0.5
1464303690725141,171,0.5
1464303690758474,172,0.5
1464303690791807,173,0.5
1464303690825141,174,1
1464303690858474,175,1
1464303690891807,176,1
1464303690925141,177,1
1464303690958474,178,1
1464303690991807,179,1
1464303691025141,180,1
1464303691058474,181,1
1464303691091807,182,1
1464303691125141,183,1
1464303691158474,184,1
1464303691191807,185,1
1464303691225141,186,1
1464303691258474,187,1.5
1464303691291807,188,1.5
1464303691325141,189,1.5
1464303691358474,190,1.5
1464303691391807,191,1.5
1464303691425141,192,1.5
1464303691458474,193,1.5
1464303691491807,194,1.5
1464303691525141,195,1.5
1464303691558474,196,2
1464303691591807,197,2
1464303691625141,198,2
1464303691658474,199,2
1464303691691807,200,2
1464303691725141,201,2
1464303691758474,202,2
1464303691791807,203,2
1464303691825141,204,2
1464303691858474,205,2
1464303691891807,206,2
1464303691925141,207,2
1464303691958474,208,2
1464303691991807,209,2
1464303692025141,210,2
1464303692058474,211,2
1464303692091807,212,2
1464303692125141,213,2
1464303692158474,214,2
1464303692191807,215,2
1464303692225141,216,2
1464303692258474,217,2
1464303692291807,218,1.5
1464303692325141,219,1.5
1464303692358474,220,1.5
1464303692391807,221,1.5
